step, loss, perplexity, accuracy
0, 2.890372, 18.00, 0.040000
500, 2.513524, 12.35, 0.210000
1000, 2.317998, 10.16, 0.260000
1500, 2.286638, 9.84, 0.270000
2000, 2.333574, 10.31, 0.260000
2500, 2.323941, 10.22, 0.240000
3000, 2.292769, 9.90, 0.260000
3500, 2.314693, 10.12, 0.240000
4000, 2.304294, 10.02, 0.240000
4500, 2.247627, 9.47, 0.250000
5000, 2.253835, 9.52, 0.270000
5500, 2.248328, 9.47, 0.330000
6000, 2.214803, 9.16, 0.260000
6500, 2.277878, 9.76, 0.290000
7000, 2.209376, 9.11, 0.280000
7500, 2.258936, 9.57, 0.230000
8000, 2.251388, 9.50, 0.230000
8500, 2.219073, 9.20, 0.270000
9000, 2.225358, 9.26, 0.240000
9500, 2.262071, 9.60, 0.260000
