step, loss, perplexity
0, 5.010635, 150.00
100, 4.954491, 141.81
200, 4.757107, 116.41
300, 4.486613, 88.82
400, 4.062105, 58.10
500, 3.547389, 34.72
600, 2.940553, 18.93
700, 2.297455, 9.95
800, 1.738497, 5.69
900, 1.166356, 3.21
1000, 0.970971, 2.64
1100, 0.871396, 2.39
1200, 0.863373, 2.37
1300, 0.852377, 2.35
1400, 0.854661, 2.35
1500, 0.796284, 2.22
1600, 0.850298, 2.34
1700, 0.808201, 2.24
1800, 0.895568, 2.45
1900, 0.847302, 2.33
2000, 0.808073, 2.24
2100, 0.835098, 2.31
2200, 0.839208, 2.31
2300, 0.807622, 2.24
2400, 0.959047, 2.61
2500, 0.866296, 2.38
2600, 0.946229, 2.58
2700, 0.996029, 2.71
2800, 1.008134, 2.74
2900, 0.779035, 2.18
3000, 0.847052, 2.33
3100, 0.787911, 2.20
3200, 0.966141, 2.63
3300, 0.892051, 2.44
3400, 0.953815, 2.60
3500, 0.939611, 2.56
3600, 0.978620, 2.66
3700, 0.996190, 2.71
3800, 1.073749, 2.93
3900, 0.943033, 2.57
4000, 0.963321, 2.62
4100, 1.075288, 2.93
4200, 0.970945, 2.64
4300, 0.882513, 2.42
4400, 0.978991, 2.66
4500, 1.147239, 3.15
4600, 0.992539, 2.70
4700, 0.933236, 2.54
4800, 1.040223, 2.83
4900, 0.992943, 2.70
5000, 0.946188, 2.58
5100, 1.023285, 2.78
5200, 0.923197, 2.52
5300, 0.971910, 2.64
5400, 0.908119, 2.48
5500, 0.946654, 2.58
5600, 0.938345, 2.56
5700, 0.920539, 2.51
5800, 0.933836, 2.54
5900, 0.938865, 2.56
6000, 0.954060, 2.60
6100, 0.920193, 2.51
6200, 0.938867, 2.56
6300, 0.946203, 2.58
6400, 0.934377, 2.55
6500, 1.032133, 2.81
6600, 0.816915, 2.26
6700, 0.921160, 2.51
6800, 0.904542, 2.47
6900, 0.841529, 2.32
7000, 0.955241, 2.60
7100, 0.991631, 2.70
7200, 0.977202, 2.66
7300, 0.988856, 2.69
7400, 0.937715, 2.55
7500, 0.950276, 2.59
7600, 1.017597, 2.77
7700, 0.999594, 2.72
7800, 1.054116, 2.87
7900, 0.899122, 2.46
8000, 0.933458, 2.54
8100, 0.921160, 2.51
8200, 0.973742, 2.65
8300, 0.877918, 2.41
8400, 0.855163, 2.35
8500, 0.934715, 2.55
8600, 0.993167, 2.70
8700, 1.067622, 2.91
8800, 0.948511, 2.58
8900, 0.891197, 2.44
9000, 0.919992, 2.51
9100, 1.072142, 2.92
9200, 0.985482, 2.68
9300, 0.916172, 2.50
9400, 0.926104, 2.52
9500, 0.861940, 2.37
9600, 0.865373, 2.38
9700, 1.044990, 2.84
9800, 0.996529, 2.71
9900, 1.016554, 2.76
