lut,table,total_updates,updated_rows,total_rows,mean_updates_per_row,var_updates_per_row,max_updates_on_row
ffn_0,0,799984,64,64,12499.750000,119517588.906250,63334
ffn_0,1,799984,64,64,12499.750000,161022577.562500,59971
ffn_0,2,799984,64,64,12499.750000,186683593.281250,72358
ffn_0,3,799984,64,64,12499.750000,103775221.375000,61007
ffn_1,0,799984,64,64,12499.750000,173166083.562500,68631
ffn_1,1,799984,64,64,12499.750000,102736444.250000,61745
ffn_1,2,799984,64,64,12499.750000,164260059.312500,61525
ffn_1,3,799984,64,64,12499.750000,131585633.531250,54446
head_0_0_V,0,5999880,52984,65536,91.550903,95124.785800,18289
head_0_0_V,1,5999880,40943,65536,91.550903,96376.264895,18364
head_0_0_V,2,5999880,43821,65536,91.550903,205686.761081,41926
head_0_0_V,3,5999880,40768,65536,91.550903,172590.596438,29723
head_0_1_V,0,5999880,33439,65536,91.550903,171653.591708,19636
head_0_1_V,1,5999880,55032,65536,91.550903,145159.560031,22382
head_0_1_V,2,5999880,46144,65536,91.550903,152481.340335,18978
head_0_1_V,3,5999880,42728,65536,91.550903,88417.376407,18980
head_1_0_V,0,5999880,48473,65536,91.550903,46268.362735,12637
head_1_0_V,1,5999880,49023,65536,91.550903,37340.752871,7308
head_1_0_V,2,5999880,36421,65536,91.550903,88042.724002,11664
head_1_0_V,3,5999880,48137,65536,91.550903,45260.939700,5636
head_1_1_V,0,5999880,44389,65536,91.550903,82068.639651,14038
head_1_1_V,1,5999880,36693,65536,91.550903,52643.557925,9050
head_1_1_V,2,5999880,32768,65536,91.550903,51992.341403,9326
head_1_1_V,3,5999880,36710,65536,91.550903,52058.262851,7272
output,0,799984,64,64,12499.750000,138791471.718750,59359
output,1,799984,64,64,12499.750000,138995713.312500,51238
output,2,799984,64,64,12499.750000,176371213.250000,74615
output,3,799984,64,64,12499.750000,186895792.187500,70243
