lut,table,updates_per_row,num_rows
ffn_0,0,50430,1
ffn_0,0,11899,1
ffn_0,0,9270,1
ffn_0,0,8393,1
ffn_0,1,51650,1
ffn_0,1,12980,1
ffn_0,1,8050,1
ffn_0,1,7312,1
head_0_0_V,0,28004,1
head_0_0_V,0,26515,1
head_0_0_V,0,20046,1
head_0_0_V,0,15843,1
head_0_0_V,0,11825,1
head_0_0_V,0,7892,1
head_0_0_V,0,7788,1
head_0_0_V,0,7774,1
head_0_0_V,0,7685,1
head_0_0_V,0,7137,1
head_0_0_V,0,6031,1
head_0_0_V,0,5465,1
head_0_0_V,0,5306,1
head_0_0_V,0,5169,1
head_0_0_V,0,4956,1
head_0_0_V,0,4889,1
head_0_0_V,0,4411,1
head_0_0_V,0,4229,1
head_0_0_V,0,4108,1
head_0_0_V,0,3979,1
head_0_0_V,0,3734,1
head_0_0_V,0,3544,1
head_0_0_V,0,3377,1
head_0_0_V,0,3343,1
head_0_0_V,0,3332,1
head_0_0_V,0,3243,1
head_0_0_V,0,3230,1
head_0_0_V,0,2862,1
head_0_0_V,0,2833,1
head_0_0_V,0,2807,1
head_0_0_V,0,2737,1
head_0_0_V,0,2248,1
head_0_0_V,0,2168,1
head_0_0_V,0,2136,1
head_0_0_V,0,2134,1
head_0_0_V,0,2121,1
head_0_0_V,0,2073,1
head_0_0_V,0,2072,1
head_0_0_V,0,1851,1
head_0_0_V,0,1681,1
head_0_0_V,0,1653,1
head_0_0_V,0,1505,1
head_0_0_V,0,1404,1
head_0_0_V,0,1381,1
head_0_0_V,0,1351,1
head_0_0_V,0,1240,1
head_0_0_V,0,1171,1
head_0_0_V,0,1169,1
head_0_0_V,0,1159,1
head_0_0_V,0,1111,1
head_0_0_V,0,998,1
head_0_0_V,0,961,1
head_0_0_V,0,942,1
head_0_0_V,0,940,1
head_0_0_V,0,884,1
head_0_0_V,0,838,1
head_0_0_V,0,771,1
head_0_0_V,0,756,1
head_0_0_V,0,712,1
head_0_0_V,0,699,1
head_0_0_V,0,690,1
head_0_0_V,0,678,1
head_0_0_V,0,662,1
head_0_0_V,0,646,1
head_0_0_V,0,645,1
head_0_0_V,0,631,1
head_0_0_V,0,601,1
head_0_0_V,0,596,1
head_0_0_V,0,592,1
head_0_0_V,0,556,1
head_0_0_V,0,520,1
head_0_0_V,0,518,1
head_0_0_V,0,505,1
head_0_0_V,0,481,1
head_0_0_V,0,450,1
head_0_0_V,0,449,1
head_0_0_V,0,441,1
head_0_0_V,0,433,1
head_0_0_V,0,403,1
head_0_0_V,0,401,1
head_0_0_V,0,398,1
head_0_0_V,0,385,1
head_0_0_V,0,379,1
head_0_0_V,0,368,1
head_0_0_V,0,362,1
head_0_0_V,0,359,1
head_0_0_V,0,352,1
head_0_0_V,0,301,1
head_0_0_V,0,295,1
head_0_0_V,0,290,2
head_0_0_V,0,268,1
head_0_0_V,0,235,1
head_0_0_V,0,198,1
head_0_0_V,0,187,1
head_0_0_V,0,184,1
head_0_0_V,0,0,160
head_0_0_V,1,36832,1
head_0_0_V,1,20783,1
head_0_0_V,1,20450,1
head_0_0_V,1,13759,1
head_0_0_V,1,11358,1
head_0_0_V,1,11317,1
head_0_0_V,1,10761,1
head_0_0_V,1,10507,1
head_0_0_V,1,6659,1
head_0_0_V,1,6531,1
head_0_0_V,1,6276,1
head_0_0_V,1,6196,1
head_0_0_V,1,6029,1
head_0_0_V,1,5958,1
head_0_0_V,1,5921,1
head_0_0_V,1,5691,1
head_0_0_V,1,4536,1
head_0_0_V,1,4335,1
head_0_0_V,1,4328,1
head_0_0_V,1,4187,1
head_0_0_V,1,4186,1
head_0_0_V,1,4134,1
head_0_0_V,1,3962,1
head_0_0_V,1,3954,1
head_0_0_V,1,3716,1
head_0_0_V,1,2756,1
head_0_0_V,1,2520,1
head_0_0_V,1,2311,1
head_0_0_V,1,2232,1
head_0_0_V,1,2219,1
head_0_0_V,1,2203,1
head_0_0_V,1,1975,1
head_0_0_V,1,1917,1
head_0_0_V,1,1914,1
head_0_0_V,1,1844,1
head_0_0_V,1,1841,1
head_0_0_V,1,1796,1
head_0_0_V,1,1785,1
head_0_0_V,1,1623,1
head_0_0_V,1,1552,1
head_0_0_V,1,1458,1
head_0_0_V,1,1371,1
head_0_0_V,1,1359,1
head_0_0_V,1,1303,1
head_0_0_V,1,1301,1
head_0_0_V,1,1273,1
head_0_0_V,1,1257,1
head_0_0_V,1,1232,1
head_0_0_V,1,1221,1
head_0_0_V,1,1212,1
head_0_0_V,1,1205,1
head_0_0_V,1,984,1
head_0_0_V,1,872,1
head_0_0_V,1,705,1
head_0_0_V,1,669,1
head_0_0_V,1,648,1
head_0_0_V,1,629,1
head_0_0_V,1,615,1
head_0_0_V,1,604,1
head_0_0_V,1,573,1
head_0_0_V,1,483,1
head_0_0_V,1,480,1
head_0_0_V,1,463,1
head_0_0_V,1,451,1
head_0_0_V,1,449,1
head_0_0_V,1,436,1
head_0_0_V,1,430,1
head_0_0_V,1,424,1
head_0_0_V,1,415,1
head_0_0_V,1,401,1
head_0_0_V,1,392,1
head_0_0_V,1,366,1
head_0_0_V,1,303,1
head_0_0_V,1,288,1
head_0_0_V,1,217,1
head_0_0_V,1,154,1
head_0_0_V,1,146,1
head_0_0_V,1,144,1
head_0_0_V,1,137,1
head_0_0_V,1,48,1
head_0_0_V,1,0,176
output,0,49170,1
output,0,22153,1
output,0,7709,1
output,0,960,1
output,1,69545,1
output,1,8417,1
output,1,1296,1
output,1,734,1
